Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeID,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,WorkloadScore,WeeklyHoursWorked,MonthlyMeetings,CompensationSatisfaction,CareerGrowthPerception,ManagerSupportScore,WorkModel,ProductivityScore,SalaryBand,ExperienceBand,TenureBand,WHI,WHI_Risk_Category
41,Yes,Travel_Rarely,1102,Sales,1,2,Life Sciences,1,2,Female,94,3,2,Sales Executive,4,Single,5993,19479,8,Yes,11,3,1,0,8,0,1,6,4,0,5,5,55.9,9,3,1,4,Remote,5,Below Average,Mid (6-10),Veteran (6-10),43.78552127476427,At Risk
49,No,Travel_Frequently,279,Research & Development,8,1,Life Sciences,2,3,Male,61,2,2,Research Scientist,2,Married,5130,24907,1,No,23,4,4,1,10,3,3,10,7,1,7,3,38.7,8,5,4,4,Onsite,4,Below Average,Mid (6-10),Veteran (6-10),64.94557637242363,Moderate
37,Yes,Travel_Rarely,1373,Research & Development,2,2,Other,4,4,Male,92,2,1,Laboratory Technician,3,Single,2090,2396,6,Yes,15,3,2,0,7,3,3,0,0,0,0,5,53.4,9,1,3,3,Remote,2,Low,Mid (6-10),New (0-1),33.591735139151275,At Risk
33,No,Travel_Frequently,1392,Research & Development,3,4,Life Sciences,5,4,Female,56,3,1,Research Scientist,3,Married,2909,23159,1,Yes,11,3,3,0,8,3,3,8,7,3,0,5,46.5,10,3,2,4,Onsite,3,Low,Mid (6-10),Veteran (6-10),48.3041240581523,At Risk
27,No,Travel_Rarely,591,Research & Development,2,1,Medical,7,1,Male,40,3,1,Laboratory Technician,2,Married,3468,16632,9,No,12,3,4,1,6,3,3,2,2,2,2,3,36.5,5,4,3,2,Onsite,3,Below Average,Mid (6-10),Settling (2-3),50.55433662968609,Moderate
32,No,Travel_Frequently,1005,Research & Development,2,2,Life Sciences,8,4,Male,79,3,1,Laboratory Technician,4,Single,3068,11864,0,No,13,3,3,0,8,2,2,7,7,3,6,3,43.0,7,3,3,5,Hybrid,2,Below Average,Mid (6-10),Veteran (6-10),66.94580701613586,Moderate
59,No,Travel_Rarely,1324,Research & Development,3,3,Medical,10,3,Female,81,4,1,Laboratory Technician,1,Married,2670,9964,4,Yes,20,4,1,3,12,3,2,1,0,0,0,5,45.5,5,4,4,2,Onsite,4,Low,Senior (11-20),New (0-1),44.72042615710632,At Risk
30,No,Travel_Rarely,1358,Research & Development,24,1,Life Sciences,11,4,Male,67,3,1,Laboratory Technician,3,Divorced,2693,13335,1,No,22,4,2,1,1,2,3,1,0,0,0,4,41.3,11,3,3,5,Remote,4,Low,Entry (0-2),New (0-1),61.48091987418516,Moderate
38,No,Travel_Frequently,216,Research & Development,23,3,Life Sciences,12,4,Male,44,2,3,Manufacturing Director,3,Single,9526,8787,0,No,21,4,2,0,10,2,3,9,7,1,8,3,39.1,14,4,4,4,Hybrid,3,Average,Mid (6-10),Veteran (6-10),64.02960080163115,Moderate
36,No,Travel_Rarely,1299,Research & Development,27,3,Medical,13,3,Male,94,3,2,Healthcare Representative,3,Married,5237,16577,6,No,13,3,2,2,17,3,2,7,7,7,7,4,40.2,11,4,4,4,Onsite,3,Below Average,Senior (11-20),Veteran (6-10),62.092447366122286,Moderate
35,No,Travel_Rarely,809,Research & Development,16,3,Medical,14,1,Male,84,4,1,Laboratory Technician,2,Married,2426,16479,0,No,13,3,3,1,6,5,3,5,4,0,3,3,42.5,9,3,4,2,Hybrid,5,Low,Mid (6-10),Established (4-5),54.228369649030874,Moderate
29,No,Travel_Rarely,153,Research & Development,15,2,Life Sciences,15,4,Female,49,2,2,Laboratory Technician,3,Single,4193,12682,0,Yes,12,3,4,0,10,3,3,9,5,0,8,4,54.3,11,4,4,4,Remote,2,Below Average,Mid (6-10),Veteran (6-10),59.88544136663945,Moderate
31,No,Travel_Rarely,670,Research & Development,26,1,Life Sciences,16,1,Male,31,3,1,Research Scientist,3,Divorced,2911,15170,1,No,17,3,4,1,5,1,2,5,2,4,3,3,47.3,6,3,4,5,Onsite,2,Low,Early (3-5),Established (4-5),67.19320941405664,Moderate
34,No,Travel_Rarely,1346,Research & Development,19,2,Medical,18,2,Male,93,3,1,Laboratory Technician,4,Divorced,2661,8758,0,No,11,3,3,1,3,2,3,2,2,1,2,1,38.0,11,2,4,4,Remote,3,Low,Early (3-5),Settling (2-3),71.37224682255345,Healthy
28,Yes,Travel_Rarely,103,Research & Development,24,3,Life Sciences,19,3,Male,50,2,1,Laboratory Technician,3,Single,2028,12947,5,Yes,14,3,2,0,6,4,3,4,2,0,3,3,48.0,4,3,5,2,Onsite,2,Low,Mid (6-10),Established (4-5),52.70321546190394,Moderate
